No,Name
1,Accounting/Audit/Tax Services
2,Advertising/PR/Marketing
3,Agriculture/Forestry/Fishing
4,Airlines/Aviation
5,Arts/Performing Arts
6,Athletics/Sports
7,Automotive
8,Banking/ Financial Services
9,Biotechnology/Pharmaceuticals
10,Broadcasting/Music/Film
11,Chemicals/Petro-Chemicals
12,Clothing/Garment/Textile
13,Construction/Building/Architecture
14,Consulting/Professional Services
15,Education/Training
16,Electronics/Electrical Equipment
17,Energy/Water/Oil &amp; Gas/Waste
18,Engineering/Machinery
19,Entertainment
20,FMCG
21,Food and Beverage/Catering
22,Government/Embassy/Armed Forces
23,Healthcare/Beauty Care
24,Hospitality/Hotels
25,Insurance/Pensions
26,Interior Design/Decoration
27,Internet Services
28,IT/Computer
29,Jewellery/Gems
30,Legal Services
31,Logistics/Transport
32,Manufacturing
33,Media/Publishing
34,Medical/Hospital
35,Mining
36,NGO/UN/Non Profit
37,Pharmaceutical/Life Sciences
38,Printing/Graphic Design
39,Real Estate/Property Development
40,Recruitment/Employment Agency
41,Retail/Wholesale
42,Security/Surveillance
43,Telecommunications
44,Tourism/Travel Agency
45,Trading/Distribution/Import/Export
46,Others
